#TYPE Selected.Microsoft.Online.Administration.Group
"ObjectId","EmailAddress"
"8a3cfaab-4f7c-4523-aced-b0e8d36b7727","pl.enova@vistra.com"
"8e0d5f97-a7ef-4900-8df4-6443136c3d16","admin.vfsp@vistra.com"
"a938e63c-fd4c-4add-8323-39766a92a8fc","potwierdzenia@vistra.com"
"8431f3df-3e69-4653-8b7f-98afd20c4a8d","confirmation.vfsp@vistra.com"
"3f22735c-81f6-4c95-a42e-6fb0088d9965","altus.fiz.confirmation@vistra.com"
"bb2f44a1-c44f-4f7f-8c98-9fc35f8aa2bd","investors.wymiana@vistra.com"
"9347139c-3670-474c-a6bf-465fd860b16e","payroll.axp@vistra.com"
"4930d848-3606-42ec-94b7-b3f465a777be","cpc.cee@vistra.com"
"d27e9b8e-f240-4640-8401-86e708038993","allczechrepublic.cee@vistra.com"
"5ab2a747-e5d6-4d7c-bf62-91517a49729d","accounting.clipper@vistra.com"
"6a112023-dacb-45d1-a542-a66370a7ab2f","eques.tfi@vistra.com"
"461889bf-08dc-4bc2-a7de-2d43a097f067","ais.cee@vistra.com"
"49452db6-d315-4008-969b-10bc8eb43c93","email-allstaffvistracee@vistra.com"
"198fc514-a5ae-463f-8546-e911b237a00d","internalcontrol@vistra.com"
"6786e0b0-7d96-45af-a55d-900d033f1513","ies.cee@vistra.com"
"78ac70ac-a7f5-4742-acc0-52771d0e1407","emir.vfsp@vistra.com"
"5266d1a0-4766-439d-b422-7d4f5c050ea0","opoka.fiz.ta@vistra.com"
"4faeb4f3-ae6e-4735-94a9-72d96f675240","ta.vfsp@vistra.com"
"27f110b6-b612-41a2-9cd3-7a6a07775622","corum.fiz.ta@vistra.com"
"a0ae1b43-4dd1-4810-9e7c-6800d8c87f85","agiofunds.fiz.ta@vistra.com"
"42ba5271-cc13-47a8-92b0-7a89d9e66ca8","NobleFunds.fiz.ta@vistra.com"
"b6bbd284-76f4-483d-8c82-e39a661ecda1","ipopema.fiz.ta@vistra.com"
"2940bbc9-3c42-46be-8756-9527428394bb","jobs.vfsp@vistra.com"
"4c29366e-0613-4a21-9c5e-c5bf98ad91f1","mo.vfsp@vistra.com"
"45ac43e0-1b86-41da-8cb2-171a0093384e","eques.fiz.ta@vistra.com"
"16fd53e8-46f0-47c3-b5ab-2f1976098307","bgk.fiz.ta@vistra.com"
"0b680c79-cc1b-4a2d-8878-07408a215f64","mmprime.fiz.ta@vistra.com"
"8e00cd82-3949-4622-af8c-c06d35997b34","moneymakers.fiz.ta@vistra.com"
"208d4ece-9e41-45b7-a8b6-9148051297d9","mount.fiz.ta@vistra.com"
"3a27fdb8-6afb-4761-ad42-cbc94ee8968e","insignis.fiz.ta@vistra.com"
"c90128ca-c712-42f1-93c9-c340f0683cc0","openfinance.fiz.ta@vistra.com"
"dca2f5d7-4f74-4b0a-91f7-4ba35e65fdd0","kiid.vfsp@vistra.com"
"00d06b19-e2b1-40e6-90ca-db7f84621b95","reklamacje@vistra.com"
"1d534f5c-e404-4660-8fd3-d4c6f7c330cb","KMO-S24@vistra.com"
"bb4c9997-1fa7-4cff-941b-54c25de65792","accountingmpp.cee@vistra.com"
"ef295f87-2314-4094-8046-f3c3ab3e7400","all.vcscee@vistra.com"
"e4bbcbe5-3b8c-4cda-8bf9-5a395ff8bca0","groupeje.vcscee@vistra.com"
"4031e629-33a4-4674-b4bd-bc09c0e04325","saturn.fiz@vistra.com"
"2a5e02a8-ed70-4678-b42c-3abe512444c4","grouplbu.cee@vistra.com"
"95515b9a-8ae8-487f-8dac-4bf69c864c73","altus.fiz@vistra.com"
"f4cc8c41-3385-444d-a27e-50d32ddc8f8e","investors.fio@vistra.com"
"892ce37f-e479-4635-b4a0-3a6916ab67bb","investors.fiz@vistra.com"
"aef31531-920e-424c-be7c-fddc89eae238","sdt.vfsp@vistra.com"
"7f225bbf-2698-43b0-ba75-66e13b881309","KDL-S24@vistra.com"
"bc7cd895-3122-4328-945e-6a0b406f5204","CGA-S24@vistra.com"
"46db1d9c-cf1f-41da-9590-c529c7616913","ksiegowosc.spv@vistra.com"
"49b4a4ee-764e-4a91-85ef-db9c9db70b72","hugoboss@vistra.com"
"709aa6f1-e844-436b-b8e4-cf28cd531bbb","origin.tfi@vistra.com"
"78be5ec2-5203-4c61-a7ab-fa4fbfcc5c9f","origin.hr@vistra.com"
"4cea0a15-0aae-469a-9fbc-e08f7a308b2a","mira.pol@vistra.com"
"ce87cb20-7f79-40dd-98b3-2dc3d6a61f83","aliortfi.fiz.ta@vistra.com"
"cbdb0f72-4478-45ce-9c0e-00e79cef540a","fleetcor@vistra.com"
"1ac00dfd-de4d-422c-a867-6300d6ec378b","accounting.vfsp@vistra.com"
"34f267d5-ef1b-45f5-9f12-8358d9c94e6a","account.books.ecs@vistra.com"
"633e06b9-603c-4395-8837-fc3b20b9264f","luxembourgish.funds.vfsp@vistra.com"
"13b66812-efe4-463c-9e97-c8e8dcb329b8","singapore.funds.vfsp@vistra.com"
"c7617b0b-2188-4215-acba-f44cc2db8239","london@llsuk.com"
"2feaeb5c-59e2-405f-a759-231eac0425a9","project.sdt@vistra.com"
"2e182b35-1a2c-4114-95e3-80e25028a49e","geminigroup.cee@vistra.com"
"9c680adf-eabe-43cc-b9cb-93b82a8c8267","moneymakers.ufk@vistra.com"
"9cbf1db2-ff94-4fde-b8ad-97ccc949b291","invoices.futura@vistra.com"
"d5ce0544-cb7c-4493-8c56-8d4cff38f693","compliancepoland.vcscee@vistra.com"
"e117d072-259f-496c-a975-e14bd1883d4d","accountingprojectspoland.vcscee@vistra.com"
"b34ed299-f1ab-4dde-81af-8c80f2a87f83","platnosci.eques@vistra.com"
